thinking_mode,agent_id,agent_label,probe_name,probe_label,layer,n_predictions,n_trajectories,n_match_groups,pooled_auroc,mean_fold_auroc,fold_auroc_sd,fold_auroc_min,fold_auroc_max,brier,ece_10_bin
on,worker_1,Worker 1,lat_contrast_pair_pca,LAT,56,36,36,9,0.6388888888888888,0.6944444444444444,0.43744488188954506,0.0,1.0,0.24761954644176998,0.25051594513943726
on,worker_1,Worker 1,lat_contrast_pair_pca,LAT,63,36,36,9,0.6358024691358025,0.6666666666666666,0.4714045207910317,0.0,1.0,0.24619487210137622,0.30866945778779076
on,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,0,18,18,9,0.37037037037037035,0.4444444444444444,0.49690399499995325,0.0,1.0,0.5019221568806554,0.49457419678073455
on,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,8,18,18,9,0.5308641975308642,0.4444444444444444,0.49690399499995325,0.0,1.0,0.39672969645839795,0.41169093015236147
on,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,16,18,18,9,0.5308641975308642,0.4444444444444444,0.49690399499995325,0.0,1.0,0.41154022797983403,0.41775348514675614
on,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,24,18,18,9,0.5802469135802469,0.5555555555555556,0.49690399499995325,0.0,1.0,0.43626185877017626,0.4495192284943759
on,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,32,18,18,9,0.6049382716049383,0.7777777777777778,0.41573970964154905,0.0,1.0,0.43212623412883233,0.4273890559829474
on,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,40,18,18,9,0.6419753086419753,0.8888888888888888,0.31426968052735443,0.0,1.0,0.37768634782736793,0.4098666840970537
on,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,48,18,18,9,0.49382716049382713,0.6666666666666666,0.4714045207910317,0.0,1.0,0.40902616969292155,0.4567558901660862
on,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,56,18,18,9,0.5555555555555556,0.7777777777777778,0.41573970964154905,0.0,1.0,0.41365476313514044,0.47315402240563526
on,worker_2,Worker 2,goldowsky_dill_logistic,Goldowsky-Dill,63,18,18,9,0.5555555555555556,0.7777777777777778,0.41573970964154905,0.0,1.0,0.4107609799782201,0.46793312548511834
on,worker_2,Worker 2,lat_contrast_pair_pca,LAT,0,18,18,9,0.48148148148148145,0.5555555555555556,0.49690399499995325,0.0,1.0,0.2912574158437692,0.11662873110850869
on,worker_2,Worker 2,lat_contrast_pair_pca,LAT,8,18,18,9,0.37037037037037035,0.5555555555555556,0.49690399499995325,0.0,1.0,0.33331821086026686,0.18875456941401897
on,worker_2,Worker 2,lat_contrast_pair_pca,LAT,16,18,18,9,0.5432098765432098,0.6666666666666666,0.4714045207910317,0.0,1.0,0.26673858263771266,0.2861722186608886
on,worker_2,Worker 2,lat_contrast_pair_pca,LAT,24,18,18,9,0.5432098765432098,0.4444444444444444,0.49690399499995325,0.0,1.0,0.27259922421273625,0.2746731642272151
on,worker_2,Worker 2,lat_contrast_pair_pca,LAT,32,18,18,9,0.6172839506172839,0.6666666666666666,0.4714045207910317,0.0,1.0,0.2564445691958112,0.17559589648406876
on,worker_2,Worker 2,lat_contrast_pair_pca,LAT,40,18,18,9,0.4691358024691358,0.4444444444444444,0.49690399499995325,0.0,1.0,0.2818490566065561,0.20415109382030916
on,worker_2,Worker 2,lat_contrast_pair_pca,LAT,48,18,18,9,0.2962962962962963,0.3333333333333333,0.4714045207910317,0.0,1.0,0.28555493666251164,0.1724461412498408
on,worker_2,Worker 2,lat_contrast_pair_pca,LAT,56,18,18,9,0.16049382716049382,0.0,0.0,0.0,0.0,0.2943742720787947,0.32650174485607875
on,worker_2,Worker 2,lat_contrast_pair_pca,LAT,63,18,18,9,0.18518518518518517,0.3333333333333333,0.4714045207910317,0.0,1.0,0.292053602170745,0.32042896740021914
on,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,0,36,36,9,0.5216049382716049,0.4722222222222222,0.18425693279752223,0.25,0.75,0.4017358635867383,0.4164451576395226
on,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,8,36,36,9,0.6944444444444444,0.6944444444444444,0.2576005137637695,0.25,1.0,0.2766208809916767,0.293339171604568
on,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,16,36,36,9,0.6450617283950617,0.5833333333333334,0.2041241452319315,0.25,1.0,0.3007462144440229,0.277785763765258
on,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,24,36,36,9,0.45987654320987653,0.4722222222222222,0.3424674446093876,0.0,1.0,0.4202133948838821,0.4422462380754014
on,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,32,36,36,9,0.3888888888888889,0.3333333333333333,0.28867513459481287,0.0,0.75,0.4500913659541589,0.4757231534680142
on,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,40,36,36,9,0.4691358024691358,0.3888888888888889,0.2664350846284844,0.0,0.75,0.4017566943362854,0.4400639178389074
on,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,48,36,36,9,0.5308641975308642,0.6111111111111112,0.29133579115837543,0.0,1.0,0.39603582773243273,0.4047483312646875
on,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,56,36,36,9,0.5277777777777778,0.4722222222222222,0.36217791140014716,0.0,1.0,0.39141548119492103,0.3963403451361286
on,executor_1,Executor,goldowsky_dill_logistic,Goldowsky-Dill,63,36,36,9,0.5462962962962963,0.5,0.3333333333333333,0.0,1.0,0.371518378757474,0.4106322641188865
on,executor_1,Executor,lat_contrast_pair_pca,LAT,0,36,36,9,0.24691358024691357,0.25,0.26352313834736496,0.0,0.75,0.2747631696042648,0.23139609189283725
on,executor_1,Executor,lat_contrast_pair_pca,LAT,8,36,36,9,0.3055555555555556,0.4444444444444444,0.28327886186626583,0.0,1.0,0.2796399420390225,0.16365108894704755
on,executor_1,Executor,lat_contrast_pair_pca,LAT,16,36,36,9,0.42901234567901236,0.4166666666666667,0.28867513459481287,0.0,1.0,0.2647116767865753,0.15282866195133402
on,executor_1,Executor,lat_contrast_pair_pca,LAT,24,36,36,9,0.558641975308642,0.5555555555555556,0.30681558381075724,0.0,1.0,0.2538646513801765,0.1623349887116091
on,executor_1,Executor,lat_contrast_pair_pca,LAT,32,36,36,9,0.5617283950617284,0.5833333333333334,0.26352313834736496,0.25,1.0,0.2531824258098069,0.1455299981880143
on,executor_1,Executor,lat_contrast_pair_pca,LAT,40,36,36,9,0.558641975308642,0.5833333333333334,0.26352313834736496,0.25,1.0,0.2526787618962868,0.1777461317601383
on,executor_1,Executor,lat_contrast_pair_pca,LAT,48,36,36,9,0.5617283950617284,0.5833333333333334,0.31180478223116176,0.0,1.0,0.25148377230796826,0.1568833638162142
on,executor_1,Executor,lat_contrast_pair_pca,LAT,56,36,36,9,0.5833333333333334,0.6111111111111112,0.31426968052735443,0.0,1.0,0.24926689622139372,0.1445450705585796
on,executor_1,Executor,lat_contrast_pair_pca,LAT,63,36,36,9,0.5771604938271605,0.6388888888888888,0.31426968052735443,0.25,1.0,0.24911778704501022,0.05436383063614304
